fra	nnb
Le voleur a été appréhendé par des agents de sécurité qui ont découvert plusieurs cravates dans ses poches.	Omukurungu mwalangirwe n’avateya neryomwningire remofuko yiwe mwe miambalo ya karvanti.
La fièvre fait monter le pouls.	Neryo evitunga muvyakukuvere.
« Tu dessines ? » « Ouais, je caricature. » « Qui ça, le prof ? » « Nan, j'ai essayé, ça m'irrite les yeux. »	« Ukafatura » ? » «iyehe ngkotaya kiminyikalokiomundu . » «Nyondi, o mwalimu ? » « Nan, Mungapima, kyama mesowaghe. »
Sa Majesté a-t-elle bien dormie ?	Omwami mwakanayato neke ?
On représente assez souvent le titan Atlas à genoux, soutenant sur son dos la voûte céleste.	Vakasosekanaya kanjikanji titan inyana kukamire, neryo inyana hekire amomughongo mwo elubula.
Une porte était entr’ouverte ; une jeune fille agenouillée dans un oratoire gothique, au pied d’un simple autel, récitait à demi-voix les litanies de la Vierge.	Oluyi lwavyahitsingulire hake, neryo omumbesa inyanakukamire omokisomo Kike ahakuhi nolutare akasava omomulenge muke emisave ya Bikira Maria.
Il se rappelait son dernier baiser avec Nathalie à Vierzon, trois heures plus tôt, le côté haletant, éperdu de leur adieu et il se sentait rempli d'une vague superstition.	Aviakirut’erikumbatirana riwe vana Nathalie we Vierzon, ihama lava syosahisatu, neryo omasutuasukwa akivuk’evyoshevio.
La guerre, c'est simple : c'est faire entrer un morceau de fer dans un morceau de chair.	Amalwa alovire eryahulagho : ye udembi va kingiray’echuma amo nyama.
Le Japon produit beaucoup de bonnes caméras.	E Japon vakakokotay’evyuma vikahab vyekiseesani vinene, na kandi evyowene.
Êtes-vous sûre de pouvoir gérer ceci ?	Mwangatok’erikolakino ?
En échange, je l'ai regardée avec surprise.	Okwihingania ; mungalevayavyo nerishishialinene.
Que fout ce conteneur dans notre port de Hambourg ?	Evihek’eri vikakola wetu hambourg ?
Allez les gars, va falloir passer à la vitesse supérieure maintenant.	Valwana, mughende, kundi hatia ngasondikata hetuka hanene.
Il s’est caché, il a peur qu’on le voit.	Avisamire, avirisagh’ati sivasi vakamlangia.
Une tentative d'anéantissement de l'Iran signifierait un premier pas vers l'anéantissement de la Russie elle-même, c'est ce qui explique le soutien stratégique de Moscou pour Téhéran.	Erison’eritsandy’ekihugh’eche Iran, nitwa chika okuivughaho nekye Russie, neryo, ekyo kikangaya e Russie konivirave Moscou oko Teheran.
La vie est un si bon prof que si tu n'apprends pas ta leçon, elle te la répète volontiers.	Amaisha awene kundi ni makangirirya wamanza iwalekerigha kalasi kaghu, ekihugho kikakukangirirako nerikwivukyavyo.
Pars maintenant et ne reviens jamais.	Uhendelino uvulire.
Je retourne à la fac.	Momasuv’ekalasi.
Où que vous alliez, vous serez bienvenue.	Ahosi wangahika ukkekovwa ndeke.
Je savais qu'in fine, la faute m'en serait attribuée.	Munalu naminya erilolo kolike havwamuhanya.
Je l'ai cru sur parole lorsqu'il a déclaré qu'il ne l'avait jamais vue auparavant.	Muna mwikirirye okokinywakiwe, akavuati avya syaliata mulolako.
Est-ce qu'au bar, il assure ?	Ikwa omokilabo, akanabugha kwe ?
Je pensais que Jules serait parfait pour Emma.	Ngalengekaya nyiti Jules, angavia mutunganane ahali Emma.
Les deux points sont utilisés soit pour annoncer une citation, soit pour expliquer une conséquence, soit pour expliquer une cause, soit pour faire une liste.	Omomuvughe wolusungu ehitandi hiviri hikavia ihaka kanganaya omukania owoghundi mundu kutse ekiangavia, kutse ekyalekire, kutse kandi erihandik’emilondo oko mena.
Une faute cache souvent l'autre.	Kanjikanji erilolo rikavis’erindi.
Il est tard. Thomas va s'inquiéter.	Ovutuku vwamakula. Thomas akehanjanja.
La femme est l'être le plus parfait entre les créatures ; elle est une créature transitoire entre l'homme et l'ange.	Omukali avumbawa inyuwene okovyoshi kundi aliomokatikati komondu nomumalaika.
Assurez-vous d'éteindre toutes les lumières avant de sortir.	Ngambe imwatsukilimya eshongununu shomuliro embere muhuluke.
Nous avons détruit le paradis et l'enfer.	Twaviritsandy’oluvula n’ovwikalo vwe sitani.
Je suis enchanté d'avoir fait votre connaissance.	Namatsema erikuminya.
Les gosses sont enfin endormis.	Avana vamasala vayato.
Les étrangers, dans ce pays, sont l'objet d'un traitement particulier.	Avagheni vamokihugho kino vakakivawa nerite ghavwa omo mivere yindi.
Si vous voyez ou entendez quelque chose, prévenez-moi.	Wamalangira kutse eryava mwatsi muleve, imwanyivandako.
Je ressens une sorte de crampe dans la jambe gauche.	Namakwa ekiringa kitingiri omokisando kyaghe kya malembe.
Sais-tu si Grace est chez elle ?	Wanganaminya Grâce nganie wiwe kwe ?
Elle a eu comme l'impression d'avoir vu un fantôme.	Mwakavia ngamalangira kitikotiko.
Si tu regardes là-bas, tu peux apercevoir les fumées de l'usine.	Wamasalir’ekyaswa, iwangana hangiaomuki we kibanda.
« Est-ce que cette soirée vous a plu ? » « Oui, c'était fantastique. »	« Erigholo rino lyanakutsemesirye kwe ? » «kovine, molyuwanire. »
Nul n'a jamais vu Dieu; le Fils unique, qui est tourné vers le sein du Père, lui l'a fait connaître.	kundi Sihali oyo waviri sunga nyamuhanga, mughala wiwe musa oyo wasuveyali yowamumisujisaysi (kovandu) .
C'est mon amie Rachel. Nous allons à l'école ensemble.	Ni mumwuzi waghe Rachel. Tukaya kalasi yo kughuma.
Maintenant il est trop tard : Vienne est occupée par les troupes françaises !	Hatya vwamira : omuyi we Vienne aviritallirwa u’avalasi kovufanza.
Lance la balle.	Upike embundu.
Je ne crois pas nécessaire de nettoyer les fenêtres.	Sindangire nga nichandundundi eriery’anadirisha.
Descends au prochain arrêt et prends un bus à destination de l'aéroport.	Undaghalire okokikyo ekikwamire urimaye ugunivimi eyikayo oko chivuga kye risu.
Ouah, quel gros coucou ! Oui, c'est un coucou de grand-père.	Ouah, rinyunguthirya rya muhanda ! Inga, nirinyunguthiria ria Sokulu.
Si cela va sans dire, cela ira encore mieux en le disant.	Vyamaghenda utya isulitavugha, vyangaghendire ndeke kutsivu ngawanga vuyire.
J’espérais vous faire une surprise.	Navyanamaha weri vaha ekyo mutalalirye.
Ceci n’est pas ma faute mais la vôtre.	Lino silolo lyaghe, nilyaghu.
Partons, dans un baiser, pour un monde inconnu.	Tuhane eyambi iwtemughenda omo viharo vitashivwe.
Il y a quelque chose de très étrange qui se cache derrière ça, Scott !	Hane omwatsi owavisamire omo vyoshi bino, tahi scoott !
Si seulement j'avais vendu cette propriété avant l'explosion de la bulle économique, je n'aurais pas perdu tout cet argent.	Ngandighuly’evindu vinoembere (yovutsambia) v’on yovutsambiatsambia vwevighona n’ ovukake esyofranga shaghe sishangaherire.
Les Palestiniens des territoires occupés ont-ils le droit de visiter leurs proches dans les autres pays et territoires ?	Avanya Palestina avomomiyi eyaviritalirwa, vanawite embangwa yerivalamira vali chavo vomo vindivihugho ne vindi viharo kwe?
Il y a des moments où une rose est plus importante qu'un morceau de pain.	Haknavia eshondambi esho akahande keliwe ikavya n’emughaso kulenga kahande kyomukati.
J'ai une liste des demandes en souffrance.	Nanguite esyonzakano nene shikasavya muviri esyonavulire nganiyire nyiti.
Un flingue serait bien utile.	Embundu siyiwithe ndundi.
Il faut que je parte, mes collègues m'attendent.	Ngambe inaghenda, valichetu omomwire vanyilindire.
Vous voulez toujours tout contrôler.	Mwanzire eriteghereria.
La phrase d'exemple no. 354618 a créé beaucoup de confusion sur le site web de Tatoeba.	Omulondo werihoneriako. 354618 moyalhetire elala okokibuthe kye web kia Tatoeba.
Au lieu d'écrire à la main puis de taper ton texte, saisis-le directement à l'ordinateur.	Okwanya kwerihandike’oviala, neryo kandi iwatasya handika eviyilerere vyomo mashini.
Trois jours après la mort, les cheveux et les ongles continuent à pousser mais les appels téléphoniques se font plus rares.	Eviro visatu vikakwa omundu inyaholire, naho tse echonzurire n’eshonyala ivinemulasa oliwe ishangasha ter’esimu.
Dans la mesure où vous serez à proximité, passez nous rendre visite !	Ukendivia wanahuka hakuhi neyotuli iwanaturamucha!
Tu me rappelles un garçon que je connaissais.	Wamaninch’omuwan’oynyashi.
Je dois supprimer de nombreux dossiers de mon ordinateur.	Ngandi zima emyatsi minene omo mashini waghe werihandikamo.
Le croissant n'est pas français mais autrichien. Il a été créé par un pâtissier viennois pour célébrer la levée du siège de Vienne par les Ottomans.	Echiminyikalo kyomughenda sikyabafaranza, aliwe nichava Autrichien. Kyakokotivawa n’omundu oyu katsumba vundu vwe mikati owomomuyi we Vienne.
Ils ont demandé à Kate de prendre soin de son enfant.	Mobabulirye Kate eri thambia abana bondeke.
"""Mais où vas-tu comme ça ?"" ""Je pars chez ma mère et je te laisserai avec tes charmantes araignées."""	"""Ukayahayi kwe ?"" ""Ngay’ewe mama waghe nangekushia n’exisengulla vyaghu""."
J'adhère totalement à cette vision du futur.	Naghe namaligh’erikwama malengekania waghu okoviro vikasa.
Jamais, au dire de ceux qui l’ont ensevelie, une créature vivante n’avait atteint à sa maigreur sans mourir.	Avamutavalaya, vati omundu shangavoda ngaye atitahola.
Ce piano sonne faux.	Omuzikianyo shatimba ndeke.
La bombe atomique est une sérieuse menace pour l'humanité.	Ekimano ekyemalwa ekyomuhand’owe bombe atomique ni luhunda lunene oko vuyingo vwa vandu.
Tôt ou tard il me dira tout.	Akesha sala mbirevyoshi.
Quand Marie était assise au bord de la mer, lisant le journal et mangeant une glace, elle se sentait comme au paradis.	Esaha Maria avikere okomsike wengetsenene, akasoma okoshongulu eshihandikire nerirya oko ritsuku, aviakayowa nagayowa ngalieluvula.
Cesse de me pousser dans le dos !	Ulek’inguniromomughongo.
Comme disent les bonnes vieilles femmes quand elles conseillent un remède de leur façon, si cela ne fait pas de bien, cela ne peut pas faire de mal.	Avakekulu avakuhana avandu okovwalya, vakavugho vati itita kukolako ovyowene, isiyangakola n’ékituwene.
Mon lit est grand, et les fantômes viennent dormir dedans durant la journée.	Enjingo yaghe ni nene, evitikotiko vikavia vikasyaghotsera muyo momutunji.
Mon revenu couvre à peine de quoi survivre.	Evyongasuga vitanyitokera lulya okwivyaho.
Ayons du vin et des femmes, du plaisir et des rires, Des sermons et du soda le lendemain.	Ngamb’itwayir'okovwavu na vakali, ovutseme namseka, evinywa ne hyavu hikasihirira okiro kyomunja.
Le prêtre n'est tenu de dire la messe qu'autant qu'il est en état de le faire; si cette condition manque, il ne pèche pas par omission.	Omukara avirikirwe erikol’ekisomo okondambi n’emivere eyuwene okwikolacho Hatiaho, amatendikolacho amohalieyo isilolo.
Ils ne prennent aucune décision importante.	Sivalimaya unpango wendudi.
Par une journée aussi froide, je n'aime pas sortir sans une veste.	Echinoche mbeho, sindianza erihuluka uyitambite likoti.
Si vous saviez où ils étaient, comment se fait-il que vous n'ayez rien dit ?	Kundichi simutavugha, mwanavia mwashingalihayi ?
Al Capone fut finalement jeté en prison pour évasion fiscale.	Al capone, mwaghusirwe omo ngamo vusama ne minda.
Lisa ne dit absolument rien.	Lisa shatavugha kindu.
Car lorsqu'une femme est trop souvent laissée seule, tôt ou tard elle se met à penser; et nul homme ne sait ce qu'elle pourrait alors découvrir.	Omukali akaviashighala iyuwene akavia kalengenia vinene, na sihali mulume oyo wangaminya ekyakesunga.
Emily était surprise.	Emily mwasisrivwe.
L'église devant laquelle nous étions passés s'est écroulée cinq minutes plus tard, à cause d'un immense tremblement de terre et plus d'une centaine de fidèles furent enterrés vivants.	Ekisomo ekyo twalavako mukatenre havihwa dakita tano itunalavire vusana n’omutitimano we chitata,na vandu vanene okorighana muvatavirwe ivaneho.
Bien que le Go soit probablement le jeu japonais préféré dans mon pays, au plus seulement quelques étudiants de l'université le connaissent.	Nomo e Go ni vitsange evia va japoni eviovanzine kutsibu nomo kihugho kyaghe, abakolo ni vake avasivyo.
Vous ne serez pas viré.	Sitwendi bathibitako.
Pour faire revivre un de ses symboles, la ville veut transformer un ancien entrepôt en l'une des salles de concerts les plus modernes du monde.	Okwibasha vukya viminyikalo vyavo, omuyi anzire inya hendila ekyumba kighuma okoviavakavikamo mokyeri satira évisonda vyeshonjimbo shihyshihya.
Un paléontologue ne chevauche pas de dinosaures, fiston!	Omu paléontologue siali lya esyonyama sika hulawamo esyo dinosaures mughala !
Je pourrais vous faire virer, vous savez.	Unashi konanga vatwere handi.
Dans l'attente d'une réponse Alice fut surprise par un hurlement soudain. C'était un bruit retentissant, aigu au point de percer ses tympans, fort au point d'atteindre les cieux.	Omwilindirir’eromusuvinja Alice mwashishirevwe n’eribunja lya mulhenge munye. Yabya fuyo nene, nyiri eyanga thulir'amatwi, nyingi kundu nolubula lwangowireyo.
Luke, je suis ton père.	Luke, njiri baba waghu.
J'ai enlevé ton nom de la liste.	Naviri lush’érina lyaghu lyokomihanzo.
Je veux un couteau pour couper la corde.	Nisavir’omuhamba okwitw’omulichi.
Je ne peux pas le prouver, tu devras me croire sur parole.	Erikanjacho linekalireko, aliwe wikiriraye ekinywa kyaye.
La température extérieure était de quinze degrés en dessous de zéro, mais la climatisation fonctionnait parfaitement.	Ekipimo kyekihuhanya eyihya mukyavere ekye omotondi erikumi ne vitanu aliwe evyoshi ivinuwene.
Les Palestiniens ont-ils le droit de refuser de croire en un dieu qui a promis leur terre à d'autres gens ?	Avandu vomo kihugho kye Palestine vanasingene erighan’omukama vusan’avirilaghanir’eKihugho kyavo kya vandi vandu kwe ?
Je trouvais étrange qu'il soit debout si tard.	Namasweka akavia inanimene okondambi nyingaho.
Je vous suis reconnaissant pour ce que vous avez fait précédemment.	Namavasima kundu okovyo mwakolore embere.
Il est nécessaire, surtout dans les écoles, peut-être moins dans les universités, que ceux qui reçoivent l'enseignement aient confiance en les enseignants.	Ni kya ndundi, okovigha vomo hilasi, kutsivu akalasi kakulu erikiriry avalimu vavo.
Il y a eu une échauffourée devant le magasin à l'occasion de la mise en vente du nouveau produit.	Akavembere mukavere katsivu ahalie nyumba yovuhingania vusana n’erighulia evindu vihyavihya evyahika.
Le travail est une lutte, douce est sa récompense.	Ekasi (ni walinga malwa) ni kahatikano nevihembo vyayo (visihire) vyowene.
Il voit les choses autrement à présent.	Lino akalangir’emyatsi yowundi muhanda.
L'incendie s'est déclenché après que le personnel fut rentré.	Oluhindi mulwalwitakire, avakoli vomuviri (vavighenda) vavilwayo.
Comme il n'y avait pas de place libre dans le bus, je suis restée debout tout le trajet.	Emyanya erihwa omo nguruvani, chochaleta inahik’erimene.
Vous ne pouvez pas vous en sortir dans l'explication d'une augmentation de prix de cette ampleur, en la mettant sur le dos de l'OPEP ; ça ne va pas le faire.	Sinanga nng’achavugha okomwatsi wa katali eriyoko vyeya nerihirano oko chitunga che OPEP ekite kyangakolawo.
Chacun devrait faire usage de son droit de vote.	Ovuli mundu angakolesiry’eshombangwa shiwe syovusomboli.
Je veux simplement que la soirée d'aujourd'hui soit spéciale.	Nganzire erigholo lya munawire, iryayisosa.
Au final, la campagne politique s'est transformée en un vilain combat.	Omurorotsyo werisond’isombolwa mwahendukire malwa manene.
Il s'est levé tard, alors il a raté le bus.	Mwakavuk’ivwakere neryo mwakavul’enguruvani.
Tout en me parlant, elle avait essuyé doucement avec son mouchoir ma figure d’enfant noircie par le voyage.	Avia akavugha naye inyene musanguli’ovusu vwiwe ovovwanaivwavirichina vusana n’olughendo.
