fra	swc	swc_clean
Brian a dit à plusieurs reprises à Chris qu'il lui devait beaucoup d'argent.	Brian alimwambia Chris mara mingi kama alikuwa mu deni yake ya pesa mingi.	Brian alimwambia Chris mara mingi kama alikuwa mu deni yake ya pesa mingi.
C'était l'un des meilleurs films qu'ils n’aient jamais vus.	Ilikuwa moja ya film bora zaidi ambazo hawajawahi kuona.	Ilikuwa moja ya film bora zaidi ambazo hawajawahi kuona.
J'ai une surprise pour toi, mon chéri.	Niko na suprise yako, mupenzi wangu.	Niko na suprise yako, mupenzi wangu.
Il semble qu'il y ait actuellement une épidémie inflationniste de « paquets d'aide » aux différentes économies. Ouvrez grand vos poches ! L'épidémie passée, on se demandera où s'est évaporé tout cet argent.	"Inaonekana kama kwa sasa kuko janga ya kupanda kwa bei ya ""mafulishi ya msaada"" kwa uchumi tofauti. Fungula mifuko yako kwa kuipanula zaidi. Janga ikisha pita, tutajiuliza hizi pesa zote zimepita wapi."	"Inaonekana kama kwa sasa kuko janga ya kupanda kwa bei ya ""mafulishi ya msaada"" kwa uchumi tofauti. Fungula mifuko yako kwa kuipanula zaidi. Janga ikisha pita, tutajiuliza hizi pesa zote zimepita wapi."
Je n'ai pas réussi à attraper le dernier bus et suis rentré à la maison en taxi.	Nilishindwa kukamata baisi ya mwisho na nikarudia ku nyumba mu taxi.	Nilishindwa kukamata baisi ya mwisho na nikarudia ku nyumba mu taxi.
Je suis venue trop tard.	Nilifika nyuma sana.	Nilifika nyuma sana.
Si vous ne savez pas quel est votre but, vous ne pourrez jamais atteindre celui-ci.	Kama haujui shabaa yako, hauwezi kufikia iyo hata siku moya.	Kama haujui shabaa yako, hauwezi kufikia iyo hata siku moya.
Daniel est le fils unique de Jacob.	Daniel ni mtoto wa kipekee wa Jacob.	Daniel ni mtoto wa kipekee wa Jacob.
Trouvez facilement les meilleurs prix pour votre trajet en train.	Tafuta bei bora kwa safari yako ya treni.	Tafuta bei bora kwa safari yako ya treni.
La flotte aborde à cette île ; mais à peine les Troyens sont-ils débarqués, que la peste se met dans leur camp.	Meli zinafikaka kwa iyi kisanga; lakini wakati wa Troyens walifika, peste iliingia mu kambi yabo.	Meli zinafikaka kwa iyi kisanga; lakini wakati wa Troyens walifika, peste iliingia mu kambi yabo.
Quand la cloche a sonné, les élèves sont sortis dans la cour pour jouer.	Wakati kengele ililia, wanafunzi walitoka inje kucheza.	Wakati kengele ililia, wanafunzi walitoka inje kucheza.
Les bus à la campagne n'arrivent généralement pas à l'heure.	Basi ya mu kujiji maramingi haifikake kwa wakati.	Basi ya mu kujiji maramingi haifikake kwa wakati.
Il ne le montrera jamais, mais je pense qu'au fond de lui-même, il est sérieusement inquiet.	Hataioneshaka hata siku moya, lakini nazani ndani yake iko na wasiwasi sana.	Hataioneshaka hata siku moya, lakini nazani ndani yake iko na wasiwasi sana.
Je ne veux pas que vous ayez une fausse impression.	Sipendi uwaziye mubaya.	Sipendi uwaziye mubaya.
Quel bordel il a fait à la discothèque, même la police est venue.	Alifanya bitu yenye haina maana mu diskoteke, hata polisi likuya.	Alifanya bitu yenye haina maana mu diskoteke, hata polisi likuya.
Pourquoi avez-vous remis l'impression de mon livre à plus tard ?	Juu ya nini ulitiya ratiba ya impression ya kitabu yangu ingine siku ?	Juu ya nini ulitiya ratiba ya impression ya kitabu yangu ingine siku ?
Notre fils a appris cinq langues. On a le droit d'en être fier, vous ne croyez pas ?	Mutoto wetu alijifunza lugha tano. Tuko na haki ya kujivuna, hauzani?	Mutoto wetu alijifunza lugha tano. Tuko na haki ya kujivuna, hauzani?
J'ai réfléchi à propos de quel pauvre type j'ai été.	Nilifikiria kuhusu mutu maskini mwenye nilikuwaka.	Nilifikiria kuhusu mutu maskini mwenye nilikuwaka.
Je savais que je ne devais pas lui rendre visite, je suis pourtant allée la trouver.	Nilijua kama singepashwa enda kumutembelea, lakini nilienda kumutafuta.	Nilijua kama singepashwa enda kumutembelea, lakini nilienda kumutafuta.
Comme l'hiver ne dure en Allemagne qu'environ deux semaines, on est en droit, lorsqu'il fait froid et qu'il neige au début décembre, d'espérer un traditionnel noël vert.	Gisi huko Ujeruman hiver inafanyake yapata juma mbili tu, wakati piko baridi na neige kuanza shuka mwanzo ya mwezi wa kumi na mbili, mtu iko na haki ya kutumaini Krismasi ya asili ya kijani.	Gisi huko Ujeruman hiver inafanyake yapata juma mbili tu, wakati piko baridi na neige kuanza shuka mwanzo ya mwezi wa kumi na mbili, mtu iko na haki ya kutumaini Krismasi ya asili ya kijani.
Les experts en sécurité croient que la technologie d'Apple, pour scanner les empreintes digitales, détecte si un doigt est attaché à un être humain, de sorte que les phalanges sectionnées se révèlent incapables de déverrouiller un iPhone dérobé.	Wataalamu wa usalama wanaamini kuwa teknolojia ya Apple ya kukagua alama za vidole inagundua kama kidole iliwekwa kwa mwingine mwanadamu, kwa hivyo bifungo ya mikono inaonekana habiwezi kufungua (déverrouiller) iPhone iliyoibiwa.	Wataalamu wa usalama wanaamini kuwa teknolojia ya Apple ya kukagua alama za vidole inagundua kama kidole iliwekwa kwa mwingine mwanadamu, kwa hivyo bifungo ya mikono inaonekana habiwezi kufungua iPhone iliyoibiwa.
Je serai de nouveau à la case départ et devrai reprendre les cours à zéro.	Nitaanzililia na itabidi nianze tena kusoma kutoka mwanzo.	Nitaanzililia na itabidi nianze tena kusoma kutoka mwanzo.
Le futur pilote s'entraîne dans un faux cockpit.	Rubani (pilote) wa siku zijazo anajifundisha ndani ya cabine ya bongo.	Rubani wa siku zijazo anajifundisha ndani ya cabine ya bongo.
Kokkinakis a frappé votre ami. Je suis désolé de te le dire, mon pote.	Kokkinakis alipiga rafiki yako. Samahani kukuambia, rafiki yangu.	Kokkinakis alipiga rafiki yako. Samahani kukuambia, rafiki yangu.
Il faut profiter des bonnes choses et reprendre de ce qu'on aime.	Inapashwa kutumia fursa ya vitu vizuri na kuanzililia kile unachopenda.	Inapashwa kutumia fursa ya vitu vizuri na kuanzililia kile unachopenda.
Tu as gardé toutes tes dents de lait dans cette boîte d’allumettes ? C’est dégoûtant !	Je! Uliweka meno yako yote ya maziwa mwa iyi boite ya allumettes? Inachukiza!	Je! Uliweka meno yako yote ya maziwa mwa iyi boite ya allumettes? Inachukiza!
Où es-tu, Charlie ?	 Charlie, uko wapi?	 Charlie, uko wapi?
Le Colisée était l'ancienne grande salle de spectacle dans la Rome antique.	Le Colisée ilikuwa salle kubwa ya michezo ya zamani huko Roma ya zamani.	Le Colisée ilikuwa salle kubwa ya michezo ya zamani huko Roma ya zamani.
Allô. Pourrais-je parler à Mr Jackson ?	Halo. Naweza ongea na bwana Jackson?	Halo. Naweza ongea na bwana Jackson?
Tony ne connaissait pas leurs noms.	Tony hakuwa najua majina yabo.	Tony hakuwa najua majina yabo.
Le procureur du district est réticent à poursuivre à cause de l'insuffisance des preuves.	Kiongozi wa mashtaka (procureur) wa wilaya anasita kushtaki kwa sababu ya kukosa ushahidi ya kutosha.	Kiongozi wa mashtaka wa wilaya anasita kushtaki kwa sababu ya kukosa ushahidi ya kutosha.
"Cette chanson s'appelle ""Only You""."	"Iyo nyimbo inaitwa ""Only You""."	"Iyo nyimbo inaitwa ""Only You""."
Le ballon a frappé la barre transversale.	Kabumbu iligonga ku mwamba.	Kabumbu iligonga ku mwamba.
Exact. J'ai fait une faute de frappe.	Kweli kabisa. Nilifanya kosa mu kuandika.	Kweli kabisa. Nilifanya kosa mu kuandika.
Je voudrais choisir un présent pour ma copine.	Ningependa kuchagua zawadi kwa ajili ya rafiki yangu wa kike.	Ningependa kuchagua zawadi kwa ajili ya rafiki yangu wa kike.
Elle a grandi au bord de la mer, et pourtant elle a horreur de nager.	Alikomalia kando ya bahari, lakini iko na boga ya kuogelea.	Alikomalia kando ya bahari, lakini iko na boga ya kuogelea.
Un homme a normalement deux raisons de faire une chose: une bonne raison et la vraie raison.	Kawaida mwanamume anakuwaka na sababu mbili za kufanya kitu: sababu ya muzuri na sababu ya kweli.	Kawaida mwanamume anakuwaka na sababu mbili za kufanya kitu: sababu ya muzuri na sababu ya kweli.
Le tennis est un sport joué sur un terrain spécialement marqué, le terrain de tennis.	Tenisi ni sport inaochezwa kwenye kiwanja yenye kuwekwa alama, uwanja wa tenisi.	Tenisi ni sport inaochezwa kwenye kiwanja yenye kuwekwa alama, uwanja wa tenisi.
Quel est ce morceau ? Je l'ai déjà entendu quelque part mais le titre ne me revient pas.	Iyi ni nyimbo gani? Niliisikia fasi fulani lakini sikumbuki titre.	Iyi ni nyimbo gani? Niliisikia fasi fulani lakini sikumbuki titre.
On rencontre encore extrêmement rarement des femmes au plus haut niveau de direction.	Siyo rahisi kukuta wanawake ku ngazi ya yulu sana ya uongozi.	Siyo rahisi kukuta wanawake ku ngazi ya yulu sana ya uongozi.
Comment puis-je faire en sorte que mon gamin mange des légumes ?	Aye njo naweza fanya juu mtoto wangu akule légumes?	Aye njo naweza fanya juu mtoto wangu akule légumes?
Le paragraphe 214, selon mon opinion une des dispositions encore plus étranges du Code administratif général du Land de Schleswig-Holstein, semble stipuler que quelqu'un qui enlève une personne à une autre, doit lui en délivrer un reçu.	Paragraphe ya 214, ku ngambo yangu, moja ya masharti ya kushangaza ya kanuni ya uongozi mkuu ya Land ya Schleswig-Holstein, inaonekana kusema kama mwenye anateka nyara mtu kutoka kwa mwingine, anapashwa mupatiya reçu.	Paragraphe ya 214, ku ngambo yangu, moja ya masharti ya kushangaza ya kanuni ya uongozi mkuu ya Land ya Schleswig-Holstein, inaonekana kusema kama mwenye anateka nyara mtu kutoka kwa mwingine, anapashwa mupatiya reçu.
L'éternité ? Je m'y plairai sûrement, cela commence couché.	Milele? Ntaipenda bila shaka, inaanza kwa kulala chini.	Milele? Ntaipenda bila shaka, inaanza kwa kulala chini.
Tommy ne voulait pas courir le risque de perdre son emploi.	Tommy hakutaka kupoteza kazi yake.	Tommy hakutaka kupoteza kazi yake.
"Le journalisme consiste généralement à dire ""Lord Jones est Mort"" à des gens qui n'ont jamais su que Lord Jones était vivant."	"Kwa kawaida uandishi wa habari unahisika kusema ""Lord Jones alikufa"" kwa watu ambao hawakuwahi kujuwa kama Bwana Jones alikuwa naishi."	"Kwa kawaida uandishi wa habari unahisika kusema ""Lord Jones alikufa"" kwa watu ambao hawakuwahi kujuwa kama Bwana Jones alikuwa naishi."
Le drapeau qui serait le symbole de l'Union Européenne a été officiellement choisi en 1986 : un fond bleu qui porte en son centre un cercle de douze étoiles dorées.	Bendera ambayo ingekuwa ishara ya muungano ya Ulaya ilichaguliwa rasmi mnamo mwaka 1986: rangi ya bleu yenye kuwa na nyota kumi na mbili za dhahabu katikata yake.	Bendera ambayo ingekuwa ishara ya muungano ya Ulaya ilichaguliwa rasmi mnamo mwaka 1986: rangi ya bleu yenye kuwa na nyota kumi na mbili za dhahabu katikata yake.
Réfléchis au problème - fais fonctionner (comme je te l'ai souvent entendu dire) les petites cellules grises de ton cerveau !	Fikiria juu ya shida - tumukisha (kama gisi nazowea kukusikia unasema) bu cellules budogo bya rangi ya grise mu kichwa yako.	Fikiria juu ya shida - tumukisha bu cellules budogo bya rangi ya grise mu kichwa yako.
Comment es-tu devenu flic ?	Je! Aye njo ulikuwaka askari?	Je! Aye njo ulikuwaka askari?
Vous savez que vous n'êtes pas autorisée à vous trouver ici. Sortez !	Unajua kama hauruhusiwi kuwa hapa. Toka inje!	Unajua kama hauruhusiwi kuwa hapa. Toka inje!
Je suis désolée d'avoir rompu ma promesse.	Samahani nimevunja ahadi yangu.	Samahani nimevunja ahadi yangu.
"La torture physique, psychologique et sexuelle pratiquée par les services de renseignements des pays ""civilisés"" n'est pas une pratique barbare."	"Unyanyasaji wa kimwili, kiakili na kijinsia unaofanywa na services za upelelezi za nchi ""za kusirimuka"" haiko tabia ya kinyama."	"Unyanyasaji wa kimwili, kiakili na kijinsia unaofanywa na services za upelelezi za nchi ""za kusirimuka"" haiko tabia ya kinyama."
Lorsqu'un rayon de soleil pénètre par une serrure de porte dans une chambre poussiéreuse, on y voit s'agiter une colonne de poussière.	Wakati mishale ya jua inaingia kupitia serire ya mlango ndani ya chumba ya kuyala vumbi, mstari ya vumbi inaonekana gisi iko ruka ruka.	Wakati mishale ya jua inaingia kupitia serire ya mlango ndani ya chumba ya kuyala vumbi, mstari ya vumbi inaonekana gisi iko ruka ruka.
Nous pourrions sortir ensemble comme nous l'avons fait l'année passée.	Tunaweza kutoka pamoja kama tulivyofanya mwaka jana.	Tunaweza kutoka pamoja kama tulivyofanya mwaka jana.
Anatole n’avait pas la compréhension vive, il n’était pas éloquent, mais en revanche il possédait ce calme si précieux dans le monde et cette assurance que rien ne pouvait ébranler.	Anatole hakukuwa naelewa mzuri, hakukuwa na uwezo ya kuongea mzuri, lakini kwa upande mwingine alikuwa na utulivu yenye kutafutikana sana duniani na ujasiri yenye haingetikiswa na kitu yoyote ile.	Anatole hakukuwa naelewa mzuri, hakukuwa na uwezo ya kuongea mzuri, lakini kwa upande mwingine alikuwa na utulivu yenye kutafutikana sana duniani na ujasiri yenye haingetikiswa na kitu yoyote ile.
Le commandant de bord a annoncé aux passagers stupéfaits l'annulation du vol.	Pilote mkuu alitangaziwa wasafiri wenye kushangazwa ya kwamba vol ilikuwa annulé (vol haitakuwa tena).	Pilote mkuu alitangaziwa wasafiri wenye kushangazwa ya kwamba vol ilikuwa annulé.
Ils ne savent pas de quoi nous parlons (ils ne savent pas où est atteint le moulin).	Hawajui tunazungumza kuhusu nini (hawajui moulin iko wapi).	Hawajui tunazungumza kuhusu nini.
Jules est le seul qui sache la combinaison du coffre.	Jules yepeke tu njo anajua mot de passe ya coffre.	Jules yepeke tu njo anajua mot de passe ya coffre.
Il sent super bon.	Ni harufu nzuri sana.	Ni harufu nzuri sana.
Attendez mes ordres !	Ngojea amri zangu!	Ngojea amri zangu!
Il y avait un max de monde à cette soirée.	Kulikuwa batu mingi kwa iyi fete ya mangaribi.	Kulikuwa batu mingi kwa iyi fete ya mangaribi.
Je suis vraiment désolée d'avoir menti.	Naomba musamaha kabisa kwa kusema bongo.	Naomba musamaha kabisa kwa kusema bongo.
Le type que vous tenez n'est pas le bon.	Ule mtu mwenye unakamata haiko wa mzuri.	Ule mtu mwenye unakamata haiko wa mzuri.
Il tient le rang de colonel.	Iko na cheo ya kanali (colonel).	Iko na cheo ya kanali.
C'est une personne importante au FBI.	Yeye ni mutu muhimu ndani ya FBI.	Yeye ni mutu muhimu ndani ya FBI.
Dan a jeté un coup d'œil au véhicule de la victime.	Dan alitupa licho ku gari ya muhanga.	Dan alitupa licho ku gari ya muhanga.
Ceci ne signifie pas que nous devrions ignorer des sources de tension. En effet, cela suggère le contraire : nous devons confronter ces tensions.	Hii haimaanishi kwamba tunapaswa puuzia chanzo za mafarakano. Kwa kweli, hii inaonyesha kinyume: tunapashwa kukabiliana na iyi mafarako.	Hii haimaanishi kwamba tunapaswa puuzia chanzo za mafarakano. Kwa kweli, hii inaonyesha kinyume: tunapashwa kukabiliana na iyi mafarako.
La curiosité tue le chat, mais la satisfaction le ramène à la vie.	Bujuwayi inaua pusi, lakini kuridhika inamurudishia uhai.	Bujuwayi inaua pusi, lakini kuridhika inamurudishia uhai.
Vous serez responsable des femmes travaillant dans cette usine.	Utasimamia wanawake wenye wanafanya kazi kwenye hii kiwanda.	Utasimamia wanawake wenye wanafanya kazi kwenye hii kiwanda.
J'arriverai à 2h30 et Marie arrivera un peu plus tard.	Nitafika saa munane za muchana na dakika makumi tatu na Marie atafika nyuma kidogo.	Nitafika saa munane za muchana na dakika makumi tatu na Marie atafika nyuma kidogo.
Les obstétriciens sont également soumis à un risque élevé de procès.	Baganga ya kuzalisha biko pia mu hatari kubwa ya kushtakiwa.	Baganga ya kuzalisha biko pia mu hatari kubwa ya kushtakiwa.
Hum ! Ça a l'air bon !	Hum ! Inaonekana muzuri !	Hum ! Inaonekana muzuri !
Chris a obtenu un emploi dans la peinture de maisons et a réussi à amasser de l'argent.	Chris alipata kazi ya kupakala rangi ku ma nyumba na alipata pesa mingi.	Chris alipata kazi ya kupakala rangi ku ma nyumba na alipata pesa mingi.
Si tu as quelque chose d'utile à me dire, fais-le, sinon arrête de débiter tes conneries arrogantes.	Kama uko na kitu ya maana ya kuniambia, niambie, kama sivyo acha kuongea bitu ya ujinga na kiburi.	Kama uko na kitu ya maana ya kuniambia, niambie, kama sivyo acha kuongea bitu ya ujinga na kiburi.
L'enquête conclut qu'en dépit de ses dénégations, le directeur général aurait eu connaissance des pratiques illégales, en cours dans l'entreprise.	Uchunguzi unaonesha kuwa ijapokuwa alikuwa nakatala, directeur general alikuwa anajuwa vitendo ya magendo yenye ilikuwa napitikana ndani ya kampuni.	Uchunguzi unaonesha kuwa ijapokuwa alikuwa nakatala, directeur general alikuwa anajuwa vitendo ya magendo yenye ilikuwa napitikana ndani ya kampuni.
