fra	lin
Tom a commencé à siffler un air.	Tom abandaki ko beta piololo na mopepe.
L'Irlandaise, qui écrit en irlandais, est écrivain.	Irlanadais ya muasi, oyo akomaka na lokota ya bairlandais, azali mokomi.
Je sais que son oncle va lui présenter une femme.	nayebi ete noko naye akolakisa ye muasi.
Pierre croit encore au Père Noël. En revanche, son fils n'y croit plus.	Pierre azali naino ko ndimela Père Noël. Kasi, muana naye andimelaka yango lisusu te.
Malheureusement, l'hôtel que tu as proposé était complet.	Mawa pamba te,  l'hôtel oyebisaki biso esi etondaki.
Les Allemands n'ont pas le sens de l'humour ? Ça ne m'amuse pas du tout !	ba Allemands bayebi ndenge ya ko sala maseki te ? Ezo sepelisa ngai lisusu ata moke te !
La solution rapide et efficace pour trouver le job de vos rêves !	Lolenge ya mbangu mpe makasi pona to zwa misala oyo tokanaka !
Nous autres adultes ne détruisons pas les facultés intelligentes et créatrices des enfants.	Biso ba mikolo nde to bebisaka mayele mpe maksi ya ko kela ya bana mikie.
Une bonne équipe est un groupe d'individus qui travaillent ensemble à atteindre un objectif commun.	Lisanga ya malamu ezali bongo liboke ya bato oyo basali ko sala na lisanga pona ko kokisa mokano moko.
L'hiver semble s'attarder cette année beaucoup plus longtemps que d'habitude.	Hiver ezali ko wumela mingi mbula oyo koleka ba mbula misusu.
Chaque journée est une petite vie : chaque réveil et chaque lever est une petite naissance, chaque nouveau matin en est la jeunesse, chaque repos ou endormissement est une petite mort.	Mikolo nyonso ezali bomoi ya moke : ko lamuka nyonso mpe ko telema nyonso ezali mbotama ya moke, tongo nyonso ezali ki bolenge, bopemi nyonso to kolala nyonso ezali liwa ya moke.
Messieurs, démarrez vos moteurs.	Messieurs, bo démarrez ba moteurs na bino.
Cet homme cruel fouetta son chien.	Moto oyo azanga mawa afiakolaki mbwa naye fimbu.
Le cancer peut être facilement guéri s'il est détecté dans sa phase initiale.	Bokono ya cancer ekoki kobikisama na pete soki emonani na tango ezali na embandeli.
Un bon rayon de soleil, froid et sec, voilà un beau temps d'hiver !	Mwa moyi ya kitoko, mwa malili mpe mwa ko kawuka, yango nde climat ya kitoko ya hiver !
Dans un vaste espace laissé libre entre la foule et le feu, une jeune fille dansait.	Na etando ya monene batika polele na kati ya liboke ya bato mpe na moto, elenge muasi azalaki ko bina.
Tom est un imbécile.	Tom azali zoba.
C'est au pied du mur que l'on connait le maçon.	Na fondation nde bayebaka maçon.
Tout le monde a adopté une attitude hostile envers les immigrés clandestins.	Bato nyonso bakomaki na bizaleli ya kanda epayi ya ba paya oyo ba yingeli mboka na lolenge ya nkunku.
Le cœur sert à pomper du sang.	Motema ntina na yango ezali ko tindika makila.
En 1860, Lincoln fut élu Président des États-Unis d'Amérique.	Na 1860, Lincoln aponamaki mokonzi ya mboka America.
Nous aurons besoin d'une agence de chasseurs de têtes pour trouver l'homme qui convient à ce poste de cadre.	To kozala na posa ya agence oyo elukaka bato ya mayele pona ko zwa moto oyo asengeli na ebonga oyo ya mokonzi.
J'étais impliqué dans une dispute insignifiante.	Na kotisamaki na ko swana oyo eza na tina te.
Il était terrifié en voyant cette énorme serpent.	Azalaki na ko banga makasi ntango amonaki nioka wana ya monene.
Tom est en route vers Boston.	Tom azali na nzela ko kende Boston.
Notre liberté dépend de la liberté de la presse et cela ne peut pas être restreint sans être perdu.	Kokangolama na biso ezali ko wuta na ko kongolama ya ba panzi nsango mpe yango ekoki ko kakolama te soki te eko bunga nyonso.
« J’arrive maintenant à compter de un à cent en français. » « Waouh, super ! Bon, maintenant, tu peux le faire à l’envers, en partant de cent jusqu’à un ? » « Euh, ça, je peux pas encore. »	« Nakoki sikoyo ko tanga kobanda moko ti na nkámá na  français. » « Waouh, kitoko ! Kasi, sikoyo sala yango lolenge ya sima, ko banda na nkámá ti na moko ? » « Euh, wana, nanu na koki te. »
Los Angeles est la deuxième plus grande ville des États-Unis.	Los Angeles ezali bongo ville ya miballe ya monene ya engumba ya America.
Un vaisseau sanguin a éclaté à l'intérieur de son cerveau.	Mosisa moko ya makila ekatani kati ya bongo nayo.
Le journal raconte qu'un lion s'est échappé du zoo et qu'il pourrait, à présent, être dans n'importe quelle partie de la ville.	Lokassa ya ba nsango elobi ete ntambwe moko akimi na ndako ya ba nyama mpe akoki ko zala, sika awa na bisika songolo ya ville.
Perdre son passeport dans un pays étranger est pire que de perdre ses bagages ou de se faire voler son portefeuille.	Ko bungisa passeport na mboka mopaya ezali mabe ko leka ko bungisa bisaka to mpe bayebi yo portemonaie.
Plus le corps est petit, plus probablement la personne souffrira des effets néfastes de radiations.	Lolenge moko moto azali na nzoto mikie, lolenge moko akonyokwama koleka na misala mabe ya radiations.
Linda est devenue la nounou à temps plein des enfants de Dan.	Linda akomi ko mokengeli ya ntangu nyonso ya bana ya Dan.
Ma mère me crie dessus tout le temps sans raison.	Mama na ngai agangelaka ngai ntangu nyonso na tina te.
Elle enveloppa le cadeau dans du papier de soie et mit un gros nœud rouge sur le dessus.	Azingi libonza na kati ya papier ya soie mpe atie noeud ya monene ya motane likolo.
Tom n'a certainement rien fait qui mérite ce genre de punitions.	Tom azali mpenza eloko te oyo esengeli azwa mbano ya lolenge oyo.
Les ardeurs du marié se refroidissaient quelques minutes avant le mariage.	Ba esengo ya mobali oyo azalaki ko bala ezalaki ko sila ngonga mukie yambo ya libala.
Je vois Dana.	Nazo mona Dana.
Il y a des cerisiers des deux côtés de la route.	Ezali na ba cerisiers na ba ngambo mibale ya nzela.
Son absence donna cours à toutes sortes de rumeurs.	Koya na te epesaki bongo nzela na ba nungungu ya lolenge nyonso.
Le bonheur est un idéal de l'imagination et non de la raison.	Esengo ya solo ezalaka na mabanzo kasi na oyo elobami te.
La troisième étoile appartenait à un roi.	Minzoto ya misato azali ya Mokonzi.
Mon estomac gargouille déjà.	Estomac na ngai ebandi deja ko loba.
Ils volèrent les chevaux et les bœufs.	Bayibaki ba mpunda na ba ngombe.
Il nia avoir pris part au crime.	Awanga kozala moko ya ba bomi.
« T'as une clope ? » « Oui, mais je n'ai pas de briquet. »	« Oza na likaya ? » « Eh, kasi nazali na moto te. »
Le jour suivant, le naufrage du bateau fut découvert sur la grève.	Mokolo elandaki, kondinda ya masuwa emonisamaki na libongo.
Thomas jeta ses vêtements dans le panier à linge sale.	Thomas abwakaki bilamba na ye na kitunga ya bilamba ya salite.
Une petite sieste et hop, je suis frais comme un gardon.	Bopemi ya mukie mpe mbala moko, nayoki nzoto makasi lokola moto ya elenge.
Des détectives privés ont été embauchés pour examiner l'étrange affaire.	Bato basalaka mosala ya ko landela makambu ba bengisamaki pona ko landela likambo oyo ya somo.
Allo, est-ce le service du personnel ?	Allo, ezali service ya personnel ?
Le roi était célèbre pour son splendide palais.	Mokonzi zalaki ya koyebana makasi pona ndaku na ye oyo ezalaki kitoko makasi.
Tom parlait plus fort que d'habitude.	Tom azalaki ko loba na mongongo makasi koleka bo momesano.
Tracy a perdu ses lunettes.	Tracy abungisi manetti naye.
Il y a une alliance importante entre ces deux pays.	Ezali na boyokani moko ya motuya kati na bikolo oyo mibale.
Si tu étais venu aujourd'hui, je t'aurais donné mille francs.	Soki oyaki lelo, nalingaki na pesa yo francs nkóto moko.
Je te remercie d'avance pour ton aide.	Na tondi yo botondi liboso pona lisungi na yo.
Le film s'est inspiré du roman éponyme.	Lakanisi ya film yango ewutaki na búku éponyme.
Kent est un meneur-né.	Kent abotama mokambi.
Lorsqu'un médecin suit le cercueil d'un patient, c'est en fait parfois la cause qui suit l'effet.	Ntangu Munganga azali kolanda sanduku ya mobeli, ezali ntangu mususu likambu nde ezali kolanda misala.
Ne fais pas de cendres de cigarette sur le tapis.	Ko tia putulu ya likaya na tapis te.
Debbie! Est-ce que tu m'entends?	Debbie! Ozo yoka ngai?
Nous avons mangé de la barbe-à-papa à la foire régionale.	To liaki  barbe-à-papa na foire régionale.
Nous faisons un bœuf au club demain soir.	Tokosala ngombe lobi na pokwa na nganda.
Elle a admis avoir de l'héroïne.	Andimi ete azali na héroïne.
Comprenez bien que dans de telles circonstances, nous n'avons pas d'autres alternatives que de trouver un autre acheteur.	Bososola malamu na makambu ya boye, tozali na lolenge mususu ya kosala te  soki ko luka mosombi mususu te.
« Mince, ma batterie va me lâcher. » « Tu aurais dû la recharger pendant que tu dormais. »	« Njambe, batterie ezo sila. » « Esengelaki orecharger yango na ntangu ozalaki kolala. »
Je mesure 1 m 58.	Nazali molayi ya 1 m 58.
Des cris de joie éclatèrent.	Milolo ya esengo ebetamaki.
Il est dangereux de se pencher au-dehors.	Ezali mabe koyekama na libanda.
Samantha est arrivée.	Samantha akomi.
C'est un engagement énorme.	Ezali ngambo munene.
Cette collection est riche en tableaux des maîtres hollandais.	Collection oyo ezali na motuya ya ba tableaux ya ba maitres hollandais.
L'énergie solaire ne menace pas l'environnement.	Nguya ya moi ezali ko bebisa bazingazinga te.
De retour à Shanghai je me fais des bonnes pâtes de riz sautées à la chair de crabe.	Na kowuta Shangai na misaleli spaghetti na loso na musuni ya kosa-kosa.
Je veux être photographe de la nature.	Na lingi na zala photographe ya nature.
Et ils continueront à influencer le monde à travers l'excitation de leur littérature, de leur cinéma et de leur musique.	Mpe bako koba na ko kumba mokili na sima ya mbonge ya makomi na bango, cinema na bango mpe mindule na bango.
Cet outil est complètement inutile.	Eloko oyo ezali na litomba ata moke te.
Elles ont accordé une interview au journaliste.	Ba salaki interview na ba panzi nsango.
Mon épouse a donné naissance à un enfant lorsque nous étions très pauvres. Pendant qu'elle dormait, je cuisinai du riz et des légumes pendant plusieurs jours et je la surpris par la variété et le goût de ma cuisine.	Muasi na ngai abotaki muana moko ntangu tozali na bobola ya makasi. Ntangu azalai kolala, nazalaki kolamba loso na ndunda sima mikolo ebele na kamwisaki ye na  kitoko ya makusa na ngai.
Heureusement nous avons trouvé le chemin de la fuite.	Libaku malamu tozwaki yako mona nzela ya kokima.
Cette église fut détruite par un tir d'obus.	Ecclezia oyo epanzanaki na obus.
Il a repéré cinq fautes en autant de lignes.	Amoni ba mbemba mitano na makomi moke kaka.
Le verre est tombé par terre.	Kopo ekweyi na nse.
Tom est entré dans l'Église de Satan.	Tom akoti na Ecclezia ya Satana.
Bientôt, je ne pus voir que son cou, flotter au-dessus des vagues.	Kala te, na kokaki komona kaka kingo naye, konana likolo ya ba londende.
Je ne sais pas.	Nayebi te.
Le Japon se situe en Asie Orientale.	Japon ezali na Asie Orientale.
J'ai vu Andrea quand elle sortait de la maison.	Namonaki Andrea ntangu azalaki kobima na ndako.
J'avais neuf ans lorsque je demandai à ma mère si le Père Noël existait vraiment.	Nazalaki na mbula libwá ntangu na tunaki mama na ngai soki Père Noël azalaki ya solo.
UN signifie Nations Unies.	UN elakisi Nations Unies.
Donald était le prénom de mon professeur d'anglais.	Donald ezalaki nkombo ya molakissi na ngai ya Anglais.
Marie était la seule fille à porter une jupe.	Marie azalaki ye moko muana muasi oyo azalaki kolata jipi.
La porte restant verrouillée de l'intérieur, il ne pouvait rentrer dans la maison.	Ekuke etikalaki ya kokangama na ndenge ya kati, akokaki te koyingela okati ya ndaku.
Conformément à votre demande, j'ai joint une photo récente au format passeport.	Ndenge osengaki, na tie photo ya sika na lolenge ya passeport.
Ma sœur travaille à l'ambassade des États-Unis à Londres.	Ndeko na ngai ya muasi asalaka na ambassade ya États-Unis na Londres.
Les Nations Unies s'efforcent de maintenir la paix dans le monde.	Ba Nations Unies bazali kosala makasi pona kobatela kimia na mokili.
Une nouvelle équipe fut formée afin de prendre part à la course de bateaux.	Lingomba ya sika esalamaki pona ko kende na masano ya ba masuwa.
Je pensais le tenir dans un coin, mais il fit alors un mouvement inattendu et renversa complètement la situation en ma défaveur.	Nalingaki na kangela ye na pembeni, kasi aninganaki na mbalakata mpe abalusaki likambu na lolenge na ngai te.
Le présent accord est produit en deux exemplaires signés par les deux parties.	Mokanda mya boyokani oyo esalami na nkasa mibale ba ngambo mibale basali kotia mikoloto na bango.
Merde !	Buzoba !
Souffle toutes les chandelles du gâteau de fête en même temps.	Foula likolo ya ba bougies noynso ya fɛti na mbala moko.
Le prince a été transformé par magie en une grenouille.	Muana mokonzi (prince) asilaki kobongolama ligorodo na kindoki.
Un miracle est un évènement décrit par ceux à qui il a été raconté par des gens qui ne l'ont pas vu.	Likamwisi ezali likambo oyo ebetami na batu oyo bayokaki lisolo epayi batu oyo bamonaki yango te.
Veuillez rester assis jusqu'à ce que l'appareil atteigne la porte.	Botikala ya kovanda kino machini ekoma na ekuke.
Cette excursion comprend chacune des cinq îles principales.	Na kati ya mobembo oyo ezali na moko moko ya bisanga ya malonga.
Le cargo de marchandises a quatre heures d'avance.	Mpɛ́pɔ ya biloko ezali na ngonga minei ya avance.
J'adore Ken le survivant !	Na lingaka mingi Ken oyo abiki na liwa.
Tom prétend avoir des pouvoirs psychiques.	Tom azali kosala lokola azali na ba nguya ya bondoki.
Anne a un faible pour le chocolat.	Anne alingi sokolá mingi.
Merci, monsieur, de votre gentillesse.	Matondo, mobali, pona bolamu bya yo.
Toute personne a des devoirs envers la communauté, étant donné qu'elle ne peut développer pleinement et librement sa personnalité qu'à travers elle.	Moto nyonso azali na maye asengeli kosala pona mabota, pamba te akoki kolakisa na lolenge nyonso mpe na kimia nyonso bomoto naye okati ya mabota.
Les tortues pondent leurs œufs dans le sable.	Ba nkoba ba bwakaka maki na bango na zelo.
Je sentis la tension monter entre nous.	nayokaki lokola kanda ekomaki koyingela okati na biso.
Il a été trouvé coupable de tentative de meurtre pour avoir attaqué sa mère avec un couteau.	Ba katelaki ye mbano ya komeka koboma moto po alanda mama na ye na mbeli.
Le cerf dormait sur un lit de feuillages.	Mbuli azalaki kolala na mbeto ya matiti.
Sais-tu différencier l'argent de l'étain ?	Oyebi kosala bokeseni kati ya palat na etini?
Seuls les paranoïaques survivent.	Kaka batu ya bongo malamu te nde babikaka.
S'il vous plait demandez à la secrétaire de stocker les fournitures de bureau à la réserve.	Bokoki ko senga na secrétaire abomba biloko ya bureau na esika ya ebombelo.
En signant ce contrat, je me suis engagé à travailler là-bas pendant 5 ans.	Nakotia mokoloto na contrat oyo, na zwaki mokona ya kosala mosala kuna pona mbula mitano.
Les danseurs semblent délicats dans leurs robes blanches, mais ils sont en fait forts comme des chevaux.	Ba bini bazalaki lolenge ya kitoko na ba nzambala ya pembe, kasi bazali makasi lokola ba mpunda.
Je vois à vos doigts que vous fumez.	Nazali komona na misapi na bino ete bomelaka makaya.
Décidément, ça doit être dur pour vous. Comment faites-vous face à tout ça ?	Nabanza ete, esengeli kozala pasi pona bino. Bosalaka lolenge nini liboso ya oyo nyonso?
Que t'apporte de détruire des preuves ! ? La chose à faire serait de contacter la police, n'est-ce pas ?	Nini ozali kozwa na ntangu ozali ko bebisa bilembo!? Eloko esengeli osala ezali ko benga polisi, eza bongo te?
